1
                          **** CINEMATIQUE ****
 
78Ni(p,p)78Ni @ 7800 MeV                                                       

        THLAB3      ELAB3      THLAB4      ELAB4

        62.00         77.09         0.57       7722.91
        62.10         76.57         0.57       7723.43
        62.20         76.04         0.57       7723.96
        62.30         75.52         0.56       7724.48
        62.40         75.00         0.56       7725.00
        62.50         74.48         0.56       7725.52
        62.60         73.96         0.56       7726.04
        62.70         73.44         0.56       7726.56
        62.80         72.93         0.56       7727.07
        62.90         72.41         0.56       7727.59
        63.00         71.90         0.55       7728.10
        63.10         71.39         0.55       7728.61
        63.20         70.88         0.55       7729.12
        63.30         70.37         0.55       7729.63
        63.40         69.87         0.55       7730.13
        63.50         69.36         0.55       7730.64
        63.60         68.86         0.54       7731.14
        63.70         68.36         0.54       7731.64
        63.80         67.86         0.54       7732.14
        63.90         67.36         0.54       7732.64
        64.00         66.86         0.54       7733.14
        64.10         66.37         0.54       7733.63
        64.20         65.88         0.53       7734.12
        64.30         65.38         0.53       7734.62
        64.40         64.89         0.53       7735.11
        64.50         64.41         0.53       7735.59
        64.60         63.92         0.53       7736.08
        64.70         63.43         0.53       7736.57
        64.80         62.95         0.52       7737.05
        64.90         62.47         0.52       7737.53
        65.00         61.99         0.52       7738.01
        65.10         61.51         0.52       7738.49
        65.20         61.03         0.52       7738.97
        65.30         60.56         0.52       7739.44
        65.40         60.08         0.51       7739.92
        65.50         59.61         0.51       7740.39
        65.60         59.14         0.51       7740.86
        65.70         58.67         0.51       7741.33
        65.80         58.21         0.51       7741.79
        65.90         57.74         0.51       7742.26
        66.00         57.28         0.50       7742.72
        66.10         56.81         0.50       7743.19
1


 78Ni(p,p)78Ni @ 7800 MeV                                                       

        THLAB3      ELAB3      THLAB4      ELAB4

        66.20         56.35         0.50       7743.65
        66.30         55.89         0.50       7744.11
        66.40         55.44         0.50       7744.56
        66.50         54.98         0.50       7745.02
        66.60         54.53         0.49       7745.47
        66.70         54.08         0.49       7745.92
        66.80         53.63         0.49       7746.37
        66.90         53.18         0.49       7746.82
        67.00         52.73         0.49       7747.27
        67.10         52.29         0.49       7747.71
        67.20         51.84         0.48       7748.16
        67.30         51.40         0.48       7748.60
        67.40         50.96         0.48       7749.04
        67.50         50.52         0.48       7749.48
        67.60         50.09         0.48       7749.91
        67.70         49.65         0.47       7750.35
        67.80         49.22         0.47       7750.78
        67.90         48.79         0.47       7751.21
        68.00         48.36         0.47       7751.64
        68.10         47.93         0.47       7752.07
        68.20         47.50         0.47       7752.50
        68.30         47.08         0.46       7752.92
        68.40         46.66         0.46       7753.34
        68.50         46.24         0.46       7753.76
        68.60         45.82         0.46       7754.18
        68.70         45.40         0.46       7754.60
        68.80         44.99         0.45       7755.01
        68.90         44.57         0.45       7755.43
        69.00         44.16         0.45       7755.84
        69.10         43.75         0.45       7756.25
        69.20         43.34         0.45       7756.66
        69.30         42.93         0.44       7757.07
        69.40         42.53         0.44       7757.47
        69.50         42.13         0.44       7757.87
        69.60         41.73         0.44       7758.27
        69.70         41.33         0.44       7758.67
        69.80         40.93         0.44       7759.07
        69.90         40.53         0.43       7759.47
        70.00         40.14         0.43       7759.86
        70.10         39.75         0.43       7760.25
        70.20         39.36         0.43       7760.64
        70.30         38.97         0.43       7761.03
        70.40         38.58         0.42       7761.42
        70.50         38.19         0.42       7761.81
        70.60         37.81         0.42       7762.19
        70.70         37.43         0.42       7762.57
        70.80         37.05         0.42       7762.95
        70.90         36.67         0.41       7763.33
        71.00         36.30         0.41       7763.70
